full_name,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_home,minutes_played_away,nationality,appearances_home,appearances_away,age,minutes_played_overall,appearances_overall,goals_overall,assists_overall,penalty_goals,penalty_misses,conceded_overall,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_overall,rank,goals_home,goals_away,assists_home,assists_away,clean_sheets_home,clean_sheets_away,conceded_home,conceded_away,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer,rank_frac,rank_in_league_top_Strikers,rank_in_league_top_Strikers,rank_in_league_top_attackers
Fraser Forster,574560000,17-03-88,Premier League,2018/2019,Striker,Southampton,0,90,England,0,1,33,90,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,30,90,0,0,0,29,0.272727273,-1,-1,-1
Kayne Ramsey,971136000,10-10-00,Premier League,2018/2019,Striker,Southampton,90,0,England,1,0,20,90,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,30,90,0,0,0,19,0.272727273,-1,-1,-1
Loïc Damour,663292800,08-01-91,Premier League,2018/2019,Striker,Cardiff City,4,17,France,1,1,30,21,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8.57,11,11,0,0,0,15,0.181818182,-1,-1,-1
Angel Gomes,967680000,31-08-00,Premier League,2018/2019,Striker,Manchester United,25,0,England,2,0,20,25,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.6,25,13,0,0,0,19,0.090909091,-1,-1,-1
Abdelhamid Sabiri,849139200,28-11-96,Premier League,2018/2019,Striker,Huddersfield Town,0,49,Morocco,0,2,24,49,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5.51,16,25,0,0,0,22,0.272727273,-1,-1,-1
Matty Daly,984182400,10-03-01,Premier League,2018/2019,Striker,Huddersfield Town,49,24,England,1,1,20,73,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.23,73,37,0,0,0,18,0.090909091,-1,-1,-1
Marc Navarro Ceciliano,804643200,02-07-95,Premier League,2018/2019,Striker,Watford,0,84,Spain,0,2,25,84,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2.14,42,42,0,0,0,15,0.181818182,-1,-1,-1
Alberto Moreno,710294400,05-07-92,Premier League,2018/2019,Striker,Liverpool,90,65,Spain,1,1,28,155,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.16,78,78,0,0,0,17,0.181818182,-1,-1,-1
Fabricio Martín Agosto Ramírez,567907200,31-12-87,Premier League,2018/2019,Striker,Fulham,90,90,Spain,1,1,33,180,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,2.5,36,90,0,0,0,13,0.454545455,-1,-1,-1
Michel Vorm,435456000,20-10-83,Premier League,2018/2019,Striker,Tottenham Hotspur,90,90,Netherlands,1,1,37,180,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,2,45,90,0,0,0,22,0.363636364,-1,-1,-1
Ibrahima Cissé,762393600,28-02-94,Premier League,2018/2019,Striker,Fulham,9,78,Belgium,1,2,27,87,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3.1,29,29,0,0,0,20,0.272727273,-1,-1,-1
Mason Greenwood,1001894400,01-10-01,Premier League,2018/2019,Striker,Manchester United,105,10,England,2,1,19,115,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1.57,58,38,0,0,0,27,0.181818182,-1,-1,-1
Carl Jenkinson,697507200,08-02-92,Premier League,2018/2019,Striker,Arsenal,166,0,England,3,0,29,166,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1.08,83,55,0,0,0,18,0.181818182,-1,-1,-1
Christian Fuchs,513216000,07-04-86,Premier League,2018/2019,Striker,Leicester City,90,116,Austria,1,2,34,206,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1.75,52,69,0,0,0,17,0.363636364,-1,-1,-1
Bakary Sako,578016000,26-04-88,Premier League,2018/2019,Striker,Crystal Palace,8,17,Mali,3,1,32,25,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,23,1,-1,-1,-1
Denis Suárez,757814400,06-01-94,Premier League,2018/2019,Striker,Arsenal,29,38,Spain,2,2,27,67,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,28,1,-1,-1,-1
Konstantinos Mavropanos,881798400,11-12-97,Premier League,2018/2019,Striker,Arsenal,46,104,Greece,1,3,23,150,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.6,150,38,150,0,0.6,19,0.590909091,-1,-1,-1
Daniel Williams,605318400,08-03-89,Premier League,2018/2019,Striker,Huddersfield Town,13,80,USA,1,4,32,93,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.97,93,19,93,0,0.97,21,0.590909091,-1,-1,-1
Tyrone Mings,731980800,13-03-93,Premier League,2018/2019,Striker,AFC Bournemouth,7,134,England,2,3,28,141,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2.55,35,28,0,0,0,23,0.363636364,-1,-1,-1
Mason Holgate,845942400,22-10-96,Premier League,2018/2019,Striker,Everton,270,137,England,3,2,24,407,5,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,0,1.99,45,81,407,0,0.22,16,0.318181818,160,390,414
Neeskens Kebano,700185600,10-03-92,Premier League,2018/2019,Striker,Fulham,74,29,Congo DR,5,2,29,103,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.87,103,15,0,0,0,18,0.090909091,-1,-1,-1
Greg Cunningham,665280000,31-01-91,Premier League,2018/2019,Striker,Cardiff City,450,180,Republic of Ireland,5,2,30,630,7,0,0,0,0,16,3,0,0,0,0,1,1,0,0,0,0,0,1,15,1,0,0,0,2.29,39,90,210,0,0.43,19,0.954545455,170,381,313
Nathaniel Chalobah,787190400,12-12-94,Premier League,2018/2019,Striker,Watford,67,199,England,3,6,26,266,9,0,0,0,0,5,2,0,0,0,0,1,1,0,0,0,0,1,0,2,3,0,0,0,1.69,53,30,133,0,0.68,19,0.454545455,-1,-1,-1
Robbie Brady,695347200,14-01-92,Premier League,2018/2019,Striker,Burnley,390,325,Republic of Ireland,9,7,29,715,16,0,1,0,0,12,4,1,0.13,0.13,0,2,1,0,0,0,1,1,1,8,4,0,0,0,1.51,60,45,143,715,0.63,13,0.850909091,-1,108,268
Alex Oxlade-Chamberlain,745372800,15-08-93,Premier League,2018/2019,Striker,Liverpool,19,0,England,2,0,27,19,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,21,2,-1,-1,-1
Gary Cahill,503798400,19-12-85,Premier League,2018/2019,Striker,Chelsea,1,21,England,1,1,35,22,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,15,2,-1,-1,-1
Victor Moses,660960000,12-12-90,Premier League,2018/2019,Striker,Chelsea,17,9,Nigeria,1,1,30,26,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,3.46,26,13,0,0,0,23,1.090909091,-1,-1,-1
Ben Wilmot,941673600,04-11-99,Premier League,2018/2019,Striker,Watford,0,26,England,0,2,21,26,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,6.92,13,13,0,0,0,17,1.181818182,-1,-1,-1
Adrien Sebastian Perruchet Silva,605923200,15-03-89,Premier League,2018/2019,Striker,Leicester City,8,80,Portugal,1,1,32,88,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,1.02,88,44,0,0,0,15,1.090909091,-1,-1,-1
Wilfredo Daniel Caballero,370483200,28-09-81,Premier League,2018/2019,Striker,Chelsea,90,90,Argentina,1,1,39,180,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,90,0,0,0,19,2,-1,-1,-1
Mark Travers,926985600,18-05-99,Premier League,2018/2019,Striker,AFC Bournemouth,90,90,Republic of Ireland,1,1,21,180,2,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,1,0,0,5,0,0,0,2.5,36,90,0,0,0,28,1.454545455,-1,-1,-1
Miguel Ángel Britos Cabrera,490406400,17-07-85,Premier League,2018/2019,Striker,Watford,13,172,Uruguay,1,2,35,185,3,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,1,0,0,5,0,0,0,2.43,37,62,0,0,0,25,1.454545455,-1,-1,-1
Stephen Ward,493344000,20-08-85,Premier League,2018/2019,Striker,Burnley,74,156,Republic of Ireland,1,2,35,230,3,0,0,0,0,6,1,0,0,0,0,1,2,0,0,0,0,0,1,3,3,0,0,0,2.35,38,77,230,0,0.39,20,1.045454545,-1,-1,-1
Paulo Dino Gazzaniga,694310400,02-01-92,Premier League,2018/2019,Striker,Tottenham Hotspur,0,270,Argentina,0,3,29,270,3,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0.33,270,90,0,0,0,15,1.090909091,-1,-1,-1
Jazz Richards,671414400,12-04-91,Premier League,2018/2019,Striker,Cardiff City,52,76,Wales,2,2,29,128,4,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,0,0,0,2.81,32,32,0,0,0,18,1.363636364,-1,-1,-1
David Button,604540800,27-02-89,Premier League,2018/2019,Striker,Brighton & Hove Albion,180,180,England,2,2,32,360,4,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,1,0,1,4,0,0,0,1.25,72,90,0,0,0,14,1.454545455,79,327,404
Rajiv van La Parra,675993600,04-06-91,Premier League,2018/2019,Striker,Huddersfield Town,168,239,Netherlands,2,3,29,407,5,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,1,0,1,5,0,0,0,1.33,68,81,0,0,0,23,1.545454545,-1,396,335
Caglar Söyüncü,832809600,23-05-96,Premier League,2018/2019,Striker,Leicester City,191,180,Turkey,4,2,24,371,6,0,0,0,0,3,1,0,0,0,0,2,2,0,0,0,0,2,0,1,2,0,0,0,0.73,124,62,371,0,0.24,20,1.772727273,16,330,267
Leighton Baines,471571200,11-12-84,Premier League,2018/2019,Striker,Everton,141,235,England,3,3,36,376,6,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,1,2,4,0,0,0,1.44,63,63,0,0,0,21,1.545454545,109,287,410
Matteo Darmian,628560000,02-12-89,Premier League,2018/2019,Striker,Manchester United,353,90,Italy,5,1,31,443,6,0,0,0,0,7,0,0,0,0,0,1,2,0,0,0,0,1,0,4,3,0,0,0,1.42,63,74,0,0,0,25,1.636363636,102,280,411
Antonio Valencia,491961600,04-08-85,Premier League,2018/2019,Striker,Manchester United,196,270,Ecuador,3,3,35,466,6,0,0,0,0,5,2,0,0,0,0,2,2,0,0,0,0,0,2,4,1,0,0,0,0.97,93,78,233,0,0.39,23,1.454545455,29,256,300
Joel Ward,625622400,29-10-89,Premier League,2018/2019,Striker,Crystal Palace,191,360,England,3,4,31,551,7,1,0,0,0,12,1,0,0.16,0,0.16,0,2,1,0,0,0,0,0,6,6,0.47,0,551,1.96,46,79,551,0,0.16,11,1.910909091,159,358,114
Marcus Bettinelli,706665600,24-05-92,Premier League,2018/2019,Striker,Fulham,270,360,England,3,4,28,630,7,0,0,0,0,19,1,0,0,0,0,0,2,0,0,0,0,0,0,7,12,0,0,0,2.71,33,90,630,0,0.14,14,1.227272727,174,283,296
Leon Balogun,583459200,28-06-88,Premier League,2018/2019,Striker,Brighton & Hove Albion,309,282,Nigeria,4,4,32,591,8,1,0,0,0,9,2,0,0.15,0,0.15,0,2,1,0,0,0,0,0,5,4,0.29,0,591,1.37,66,74,296,0,0.3,12,1.118181818,97,292,121
Daniel Amartey,787968000,21-12-94,Premier League,2018/2019,Striker,Leicester City,307,333,Ghana,5,4,26,640,9,0,0,0,0,9,2,0,0,0,0,2,2,0,0,0,0,1,1,4,5,0,0,0,1.27,71,71,320,0,0.28,24,1.818181818,-1,313,343
Diego Rico,730425600,23-02-93,Premier League,2018/2019,Striker,AFC Bournemouth,148,459,Spain,4,8,28,607,12,0,0,0,0,18,1,0,0,0,0,0,2,0,0,0,0,0,0,3,15,0,0,0,2.67,34,51,607,0,0.15,21,1.136363636,172,261,306
Timothy Fosu-Mensah,883699200,02-01-98,Premier League,2018/2019,Striker,Fulham,499,296,Netherlands,6,6,23,795,12,0,0,0,0,18,3,0,0,0,0,1,2,0,0,0,0,1,0,9,9,0,0,0,2.04,44,66,265,0,0.34,22,1.136363636,164,408,319
Adam Masina,757468800,02-01-94,Premier League,2018/2019,Striker,Watford,463,540,Italy,7,7,27,1003,14,0,1,0,0,19,5,0,0.09,0.09,0,2,2,0,0,1,0,1,1,8,11,0,0,0,1.7,53,72,201,1003,0.45,20,1.907272727,144,155,397
Andreas Pereira,820454400,01-01-96,Premier League,2018/2019,Striker,Manchester United,521,74,Brazil,10,5,25,595,15,1,1,0,0,10,5,0,0.3,0.15,0.15,1,2,1,0,1,0,1,0,7,3,0.17,0,595,1.51,60,40,119,595,0.76,16,1.509090909,-1,93,117
Tom Smith,703209600,14-04-92,Premier League,2018/2019,Striker,Huddersfield Town,431,710,England,6,9,28,1141,15,0,0,0,0,34,3,1,0,0,0,1,2,0,0,0,0,0,1,12,22,0,0,0,2.68,34,76,285,0,0.32,24,1.590909091,173,360,334
Phil Bardsley,488764800,28-06-85,Premier League,2018/2019,Striker,Burnley,900,772,Scotland,10,9,35,1672,19,0,0,0,0,22,9,0,0,0,0,4,2,0,0,0,0,3,1,11,11,0,0,0,1.18,76,88,186,0,0.48,17,1.5,62,355,383
Steven Davis,473385600,01-01-85,Premier League,2018/2019,Striker,Southampton,6,90,Northern Ireland,2,1,36,96,3,0,1,0,0,3,0,0,0.94,0.94,0,0,3,0,0,0,1,0,0,0,3,0,0,0,2.81,32,32,0,96,0,22,2.652727273,-1,-1,-1
Davide Zappacosta,708220800,11-06-92,Premier League,2018/2019,Striker,Chelsea,35,90,Italy,3,1,28,125,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,31,0,0,0,22,3,-1,-1,-1
Håvard Nordtveit,645926400,21-06-90,Premier League,2018/2019,Striker,Fulham,90,271,Norway,1,4,30,361,5,0,1,0,0,9,0,0,0.25,0.25,0,1,3,0,0,0,1,0,1,2,7,0,0,0,2.24,40,72,0,361,0,15,2.818181818,-1,41,419
Cesc Fabregas,547084800,04-05-87,Premier League,2018/2019,Striker,Chelsea,73,102,Spain,4,2,33,175,6,0,0,0,0,2,1,0,0,0,0,3,3,0,0,0,0,2,1,0,2,0,0,0,1.03,88,29,175,0,0.51,18,2.681818182,-1,-1,-1
Jack Simpson,850867200,18-12-96,Premier League,2018/2019,Striker,AFC Bournemouth,240,163,England,3,3,24,403,6,0,0,0,0,9,0,0,0,0,0,2,3,0,0,0,0,1,1,2,7,0,0,0,2.01,45,67,0,0,0,18,2.818181818,163,314,272
Steven Defour,577065600,15-04-88,Premier League,2018/2019,Striker,Burnley,172,280,Belgium,2,4,32,452,6,0,0,0,0,12,0,0,0,0,0,1,3,0,0,0,0,0,1,5,7,0,0,0,2.39,38,75,0,0,0,14,2.090909091,-1,321,264
Kevin Long,650937600,18-08-90,Premier League,2018/2019,Striker,Burnley,90,423,Republic of Ireland,1,5,30,513,6,0,1,0,0,7,0,0,0.18,0.18,0,1,3,0,0,0,1,0,1,2,5,0,0,0,1.23,73,86,0,513,0,15,2.496363636,70,72,293
Joshua Sims,859507200,28-03-97,Premier League,2018/2019,Striker,Southampton,139,70,England,4,3,24,209,7,0,1,0,0,5,0,0,0.43,0.43,0,1,3,0,0,1,0,0,1,3,2,0,0,0,2.15,42,30,0,209,0,20,2.814545455,-1,-1,-1
Carlos Sánchez,508032000,06-02-86,Premier League,2018/2019,Striker,West Ham United,120,120,Colombia,4,3,35,240,7,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,2,0,0,2,0,0,0,0.75,120,34,0,0,0,21,2.181818182,-1,-1,-1
Ben Hamer,564364800,20-11-87,Premier League,2018/2019,Striker,Huddersfield Town,283,270,England,4,3,33,553,7,0,0,0,0,20,0,0,0,0,0,1,3,0,0,0,0,1,0,9,11,0,0,0,3.25,28,79,0,0,0,14,2.818181818,175,348,327
Petr Čech,390700800,20-05-82,Premier League,2018/2019,Striker,Arsenal,315,270,Czech Republic,4,3,38,585,7,0,0,0,0,8,0,0,0,0,0,2,3,0,0,0,0,2,0,3,5,0,0,0,1.23,73,84,0,0,0,20,2.727272727,71,377,384
Domingos Quina,942883200,18-11-99,Premier League,2018/2019,Striker,Watford,217,118,Portugal,5,3,21,335,8,1,0,0,0,5,0,0,0.27,0,0.27,1,3,1,0,0,0,0,1,3,2,0.41,0,335,1.34,67,42,0,0,0,13,2.994545455,-1,316,72
Mohamed Elneny,710812800,11-07-92,Premier League,2018/2019,Striker,Arsenal,214,167,Egypt,5,3,28,381,8,0,0,0,0,4,0,0,0,0,0,2,3,0,0,0,0,2,0,2,2,0,0,0,0.94,95,48,0,0,0,21,2.363636364,-1,409,388
Jack Wilshere,694224000,01-01-92,Premier League,2018/2019,Striker,West Ham United,181,208,England,4,4,29,389,8,0,1,0,0,8,2,0,0.23,0.23,0,2,3,0,0,0,1,1,1,2,6,0,0,0,1.85,49,49,195,389,0.46,24,2.687272727,-1,48,369
Jacob Murphy,793584000,24-02-95,Premier League,2018/2019,Striker,Newcastle United,167,133,England,3,6,26,300,9,0,1,0,0,7,0,0,0.3,0.3,0,1,3,0,0,0,1,0,1,3,4,0,0,0,2.1,43,33,0,300,0,17,2.736363636,-1,21,301
Moussa Dembele,553392000,16-07-87,Premier League,2018/2019,Striker,Tottenham Hotspur,161,355,Belgium,3,7,33,516,10,0,0,0,0,5,1,0,0,0,0,3,3,0,0,0,0,0,3,3,2,0,0,0,0.87,103,52,516,0,0.17,24,2.954545455,-1,277,355
Rob Holding,811555200,20-09-95,Premier League,2018/2019,Striker,Arsenal,501,306,England,6,4,25,807,10,0,0,0,0,10,1,0,0,0,0,2,3,0,0,0,0,2,0,5,5,0,0,0,1.12,81,81,807,0,0.11,24,2.409090909,47,411,389
Eric Bertrand Bailly,766108800,12-04-94,Premier League,2018/2019,Striker,Manchester United,349,288,Côte d'Ivoire,5,7,26,637,12,0,0,0,0,12,1,1,0,0,0,3,3,0,0,0,0,0,3,6,6,0,0,0,1.7,53,53,319,0,0.28,26,2.590909091,141,310,340
Lewis Cook,854928000,03-02-97,Premier League,2018/2019,Striker,AFC Bournemouth,381,340,England,7,6,24,721,13,0,0,0,0,10,2,0,0,0,0,3,3,0,0,0,0,1,2,5,5,0,0,0,1.25,72,55,361,0,0.25,24,2.909090909,-1,393,362
Stephan Lichtsteiner,443059200,16-01-84,Premier League,2018/2019,Striker,Arsenal,408,532,Switzerland,7,7,37,940,14,0,0,0,0,18,3,0,0,0,0,2,3,0,0,0,0,2,0,4,14,0,0,0,1.72,52,67,313,0,0.29,25,2.136363636,147,407,387
Ryan Fredericks,718675200,10-10-92,Premier League,2018/2019,Striker,West Ham United,404,681,England,5,10,28,1085,15,1,0,0,0,13,5,0,0.08,0,0.08,3,3,1,0,0,0,2,1,1,12,0.22,0,1085,1.08,83,72,217,0,0.41,11,2.841818182,-1,340,189
Frederico Rodrigues Santos,731289600,05-03-93,Premier League,2018/2019,Striker,Manchester United,577,468,Brazil,9,8,28,1045,17,1,1,0,0,19,2,0,0.17,0.09,0.09,0,3,1,0,0,1,0,0,8,11,0.16,0,1045,1.64,55,61,523,1045,0.17,12,2.577272727,-1,156,178
Mattéo Guendouzi Olié,924048000,14-04-99,Premier League,2018/2019,Striker,Arsenal,971,1172,France,14,19,21,2143,33,0,0,0,0,28,9,0,0,0,0,4,3,0,0,0,0,3,1,9,19,0,0,0,1.18,77,65,238,0,0.38,26,2.045454545,-1,405,386
Ben Gibson,727056000,15-01-93,Premier League,2018/2019,Striker,Burnley,63,0,England,1,0,28,63,1,1,0,0,0,3,1,0,1.43,0,1.43,0,4,1,0,0,0,0,0,3,0,1.43,0,63,4.29,21,63,63,0,1.43,9,3.632727273,-1,-1,-1
Samir Nasri,551664000,26-06-87,Premier League,2018/2019,Striker,West Ham United,102,144,France,2,3,33,246,5,0,2,0,0,2,0,0,0.73,0.73,0,1,4,0,0,2,0,1,0,1,1,0,0,0,0.73,123,49,0,123,0,15,3.641818182,-1,-1,-1
Danny Simpson,536716800,04-01-87,Premier League,2018/2019,Striker,Leicester City,26,265,England,2,4,34,291,6,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,1,2,0,4,0,0,0,1.24,73,49,0,0,0,21,3.363636364,73,333,269
Oliver Skipp,969062400,16-09-00,Premier League,2018/2019,Striker,Tottenham Hotspur,191,25,England,6,2,20,216,8,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,1,0,0,0,0,0,0,0,27,0,0,0,16,4,-1,-1,-1
Vicente Iborra De La Fuente,569289600,16-01-88,Premier League,2018/2019,Striker,Leicester City,152,74,Spain,3,5,33,226,8,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,1,2,2,2,0,0,0,1.59,57,28,0,0,0,14,3.363636364,-1,-1,-1
Andreas Christensen,829094400,10-04-96,Premier League,2018/2019,Striker,Chelsea,360,255,Denmark,4,4,24,615,8,0,0,0,0,7,1,0,0,0,0,3,4,0,0,0,0,3,0,2,5,0,0,0,1.02,88,77,615,0,0.15,21,3.136363636,35,346,338
Sean Longstaff,878169600,30-10-97,Premier League,2018/2019,Striker,Newcastle United,355,333,England,4,5,23,688,9,1,0,0,0,8,2,0,0.13,0,0.13,3,4,1,0,0,0,3,0,1,7,0.25,0,688,1.05,86,76,344,0,0.26,11,3.987272727,-1,263,135
Emerson Palmieri dos Santos,775872000,03-08-94,Premier League,2018/2019,Striker,Chelsea,360,300,Italy,4,6,26,660,10,0,0,0,0,10,0,0,0,0,0,3,4,0,0,0,0,2,1,3,7,0,0,0,1.36,66,66,0,0,0,17,3.909090909,96,296,274
Scott Dann,540259200,14-02-87,Premier League,2018/2019,Striker,Crystal Palace,360,300,England,4,6,34,660,10,0,1,0,0,7,1,0,0.14,0.14,0,3,4,0,0,0,1,2,1,4,3,0,0,0,0.95,94,66,660,660,0.14,14,3.916363636,24,101,276
Miguel Ángel Almirón Rejala,760838400,10-02-94,Premier League,2018/2019,Striker,Newcastle United,405,358,Paraguay,5,5,27,763,10,0,0,0,0,10,0,0,0,0,0,3,4,0,0,0,0,2,1,4,6,0,0,0,1.18,76,76,0,0,0,24,3.909090909,-1,311,282
Jonjoe Kenny,858384000,15-03-97,Premier League,2018/2019,Striker,Everton,413,377,England,5,5,24,790,10,0,1,0,0,14,1,0,0.11,0.11,0,2,4,0,0,1,0,1,1,7,7,0,0,0,1.59,56,79,790,790,0.11,15,3.492727273,129,143,289
Jason Puncheon,520128000,26-06-86,Premier League,2018/2019,Striker,Huddersfield Town,248,143,England,6,5,34,391,11,0,0,0,0,8,1,0,0,0,0,3,4,0,0,0,0,2,1,6,2,0,0,0,1.84,49,36,391,0,0.23,19,3.227272727,-1,258,302
Leandro Bacuna,682732800,21-08-91,Premier League,2018/2019,Striker,Cardiff City,302,252,Curaçao,6,5,29,554,11,0,0,0,0,11,2,0,0,0,0,4,4,0,0,0,0,2,2,10,1,0,0,0,1.79,50,50,277,0,0.32,25,4,-1,309,281
